text,label
Urgent: The mobile app freezes on the login sceren. Thanks in advance.,technical
I see logins i don't recognise and i'm worried about my accoutn. Regards.,account_access
"Hi team, A mobile widget for quick stats would help a lot. Sorry if this is the wrong channel.",feature_request
Urgent: I'd like a refund on the annual plan i bought in april. Thanks in advance.,billing
"Hello, The promo code didn't apply so i paid the full $120. Let me know.",billing
Where can i find docs for the reporting feature. Regards.,general_inquiry
I need some help. Could you support exporting to pdf and not just csv. Hoping for a quick reply.,feature_request
"Goo dmorning, The forgot-password page says my account doesn't exist.",account_access
"To whom it may concern, Pages take over 30 seconds to load lately.",technical
Where can i find docs for the reporting feature. Sorry if this is the wrong channel.,general_inquiry
"Good morning, I can't log in and the password reset email never arrives. Let me know.",account_access
Urgent: I was billed $29 even though my card was declined. Regards.,general_inquiry
Urgent: I can't log in and the password reset email never arrives. Sorry if this is the wrong channel.,account_access
Following up: Notifications stopped firing after the latest release.,account_access
Quick question - Pages take over 30 seconds to load lately. Let me know.,general_inquiry
"To whom it may concern, I want to add a teammate with admin permissions. Let me know.",account_access
Following up: An api webhook for new events would unblock our team. Thanks in advance.,technical
"Hello, My account got locked after a few failed attempts. Appreciate any help.",account_access
Quick question - Do you offer discounts for non-profits. Hoping for a quick reply.,general_inquiry
I need some help. Please add a way to bulk-edit records. Sorry if this is the wrong channel.,feature_request
Following up: I'd love to schedule reports to send automatically each week. Regards.,feature_request
Following up: I'd like a refund on the annual plan i bought in june. Appreciate any help.,billing
Quick question - My subscription jumped to $15.50 without any notice. This is blocking me.,billing
"Hi team, I was charged $29 twice this month and need the duplicate refunded. Regards.",billing
"Hi team, I want to add a teammate with admin permissions. Please advise.",account_access
"Hello, I want to add a teammate with admin permissions. Sorry if this is the wrong chnanel.",account_access
"Hi team, Pages take over 30 seconds to load lately.",technical
"Good morning, I was charged $120 twice this month and need the duplicate refunded. Appreciate any help.",billing
Urgent: My account got locked after a few failed attempts. Sorry if this is the wrong channel.,account_access
"Good morning, Sync has been broken since the update in q1. Appreciate any help.",technical
"Hey, I need to change the email address on my account. This is blocking me.",account_access
"Hi team, I see logins i don't recognise and i'm worried about my account. Regards.",billing
"Hey, Let us customise which columns show in the main table. Regards.",feature_request
Urgent: Do you have plans to support sso for enterprise. Sorry if this is the wrong channel.,feature_request
Quick question - Let us customise which columns show in the main table .Appreciate any help.,feature_request
"Hello, I was billed $9.99 evne though my card was declined. Let me know.",billing
I need some help. Could you support exporting to pdf and not just csv. Let me know.,feature_request
"Good morning, An api webhook for new events would unblock our team. Sorry if this is the wrong channel.",feature_request
"To whom it may concern, A mobile widget for quick stats would help a lot. Hoping for a quick reply.",feature_request
I need some help. Please confirm whether i'll be charged $120 again next cycle. This is blocking me.,billing
Quick question - There are two separate $120 charges from the same day .Appreciate any help.,billing
"Hey, I was charged $80 twice this month and need the duplicate refunded. Appreciate any help.",billing
Following up: Could you support exporting to pdf and not just csv.,feature_request
An integration with slack would be really useful.,feature_request
"Good morning, Could you support exporting to pdf and not just csv.",feature_request
Urgent: Let us customise which columns show in the main table. Appreciate any help.,feature_request
I need some help. Api calls time out intermittently and break my integration. Thanks in advance.,technical
"Good morning, Two-factor isn't sending me a code anymore. Let me know.",account_access
I need some help. Two-factor isn't sending me a code anymore. Thanks in advance.,account_access
Do you publish a public roadmap i can follow. Hoping for a quick reply.,feature_request
I need some help. I see logins i don't recognise and i'm worried about my account. Sorry if this is the wrong channel.,account_access
I need some help. I'm stuck in a redirect loop trying to sign in with sso. Let me know.,account_access
Following up: The forgot-password page says my account doesn't exist. Let me know.,account_access
Urgent: Do you publish a public roadmap i can follow. Appreciate any help.,general_inquiry
Quick question - Do you publish a public roadmap i can follow. Sorry if this is the wrong channel.,general_inquiry
Urgent: Sync has been broken since the update in january. Sorry if this is the wrong channel.,technical
"Hi team, Do you have plans to support sso for enterprise. Regards.",feature_request
"To whom it may concern, Please add a way to bulk-edit records.",feature_request
"Hi team, Is there a free trial before i commit.",general_inquiry
I need some help. Where can i find docs for the reporting feature. Let me know.,general_inquiry
Following up: Please confirm whether i'll be charged $49.00 again next cycle. Regards.,billing
Quick question - Notifications stopped firing after the latest release. Hoping for a quick reply.,technical
My subscriptio njumped to $9.99 without any notice. Hoping for a quick reply.,technical
How does your product compare to others i'm evaluating. Hoping for a quick reply.,general_inquiry
"Good morning, Sync has been broken since the update in september. Regards.",technical
I need some help. It would be great to have a dark mode. Let me know.,feature_request
"Hey, I keep getting a 500 error when i hit export on the dashboard. Hoping for a quick reply.",technical
I need some help. The app crashes whenever i upload a file over 10mb. Let me know.,technical
Quick question - I keep getting a 500 error when i hit export on the dashboard. Sorry if this is the wrong channel.,general_inquiry
I need some help. I'd like a refund on the annual plan i bought in march. Hoping for a quick reply.,billing
Do you have plans to support sso for enterprise. Thank sin advance.,feature_request
"Hello, The forgot-password page says my account doesn't exist. Thanks in advance.",account_access
I need some help. Let us customise which columns show in the main table. Hopnig for a quick reply.,feature_request
I need some help. The app crashes whenever i upload a file over 10mb. Please advise.,technical
I keep getting a 500 error when i hit export on th edashboard. This is blocking me.,technical
"Hello, Can you point me to a getting-started tutorial. Regards.",general_inquiry
"To whom it may concern, My account got locked after a few failed attempts. Please advise.",account_access
"Good morning, My subscription jumped to $199 without any notice.",billing
Following up: The mobile app freezes on the login screen. This is blocking me.,technical
"Hello, I was reomved from my workspace by mistake. Appreciate any help.",account_access
"Good morning, I'm stuck in a redirect loop trying to sign in with sso. Please advise.",account_access
"Hey, Could you support exporting to pdf and not just csv.",feature_request
"To whom it may concern, The mobile app freezes on the login screen. This is blocking me.",billing
"To whom it may concern, Two-factor isn't sending me a code anymore. Let me know.",account_access
"Hey, Is therea  free trial before i commit. Sorry if this is the wrong channel.",general_inquiry
"Good morning, Please confirm whether i'll be charged $29 again next cycle. Appreciate any help.",billing
Following up: An integration with slack would be really useful. Regards.,feature_request
"Hi team, I see logins i don't recognise and i'm worried about my account. This is blocking me.",account_access
"To whom it may concern, Which plan is right for a team of about ten people. Thanks in advance.",general_inquiry
"To whom it may concern, The forgot-password page says my account doesn't exist. Thanks in advance.",account_access
"Good morning, Api calls time out intermittently and break my integration. Appreciate any help.",technical
Following up: I watn to add a teammate with admin permissions. This is blocking me.,account_access
"Hey, Where can i find docs for the reporting feature. Regards.",general_inquiry
"Hello, Do you publish a public roadmap i can follow. Regards.",general_inquiry
"Good morning, I'd love to schedule reports to send automatically each week. Appreciate any help.",feature_request
I was billed $80 even though my card was declined. Hoping for a quick reply.,billing
How does your product compare to others i'm evaluating. Regards.,general_inquiry
"Hi team, I can't find the invoice for last month and my finance team needs it. Please advise.",billing
"Good morning, I was charged $49.00 twice this month and need the duplicate refunded. Hoping for a quick reply.",billing
"Hello, A mobile widget for quick stats would help a lot.",feature_request
Following up: Could you support exporting to pdf and not just csv. Regards.,feature_request
The csv download comes out corrupted and won't open. This is blocking me.,technical
Urgent: There are two separate $199 charges from the same day. Sorry if this is the wrong channel.,billing
Quick question - Could you support exporting to pdf and not just csv. Sorry i fthis is the wrong channel.,feature_request
I need some help. I keep getting a 500 error when i hit export on the dashboard. This is blocking me.,technical
Do you publish a public roadmap i can follow. Sorry if this is thew rong channel.,general_inquiry
Urgent: I want to add a teammate with admin permissions. eLt me know.,account_access
"Hello, It would be great to have a dark mode. Hoping for a quick reply.",feature_request
"Good morning, Api calls time out intermittently an dbreak my integration. Hoping for a quick reply.",technical
"To whom it may concern, What's your data retention and privacy policy. Appreciate any help.",general_inquiry
"Hello, Please confirm whether i'll be charged $199 again next cycle. Sorry if this is the wrong channel.",billing
Quick question - Do you publish a public roadmap i can follow. Let me know.,general_inquiry
"To whom it may concern, My account got locked after a few failed attempts. Appreciate any help.",account_access
"Hey, What's your data retention and privacy policy. Appreciate any help.",general_inquiry
"Hello, I was billed $15.50 even though my card was declined. Regards.",billing
"Hi team, Api aclls time out intermittently and break my integration. Please advise.",technical
Following up: Please confirm whether i'll be charged $19 again next cycle. Regards.,general_inquiry
Quick question - Notifications stopped firing after the latest release. This is blocking me.,technical
"Hey, Do you offer discounts for non-profits. Regards.",general_inquiry
I need some help. Do you offer discounts for non-profits. Sorry if this is the wrong channel.,general_inquiry
"Hi team, Which plan is right for a team of about ten people. Hoping for a quick reply.",general_inquiry
"Hi team, It would be great to have a dark mode. Hoping for a quick reply.",feature_request
Quick question - I can't log in and the password reset email never arrives. Thanks in advance.,account_access
Do you offer discounts for non-profits. Let me know.,feature_request
"Hey, Do you publish a public roadmap i can follow. Please advise.",general_inquiry
"Hi team, Notifications stopped firing after the latest release. Let me know.",technical
I need some help. The mobile app freezes on the login screen. Let me know.,technical
Following up: I'm stuck in a redirect loop trying to sign in with sso. Appreciate any help.,account_access
Quick question - The mobile app freezes on the login screen. This is blocking me.,technical
I need some help. It would be great to have a dark mode. Hoping for a quick reply.,feature_request
My subscription jumped to $49.00 without any notice. Let me know.,billing
There are two separate $15.50 charges from the same day. This is blocking me.,billing
"Good morning, I was charged $29 tiwce this month and need the duplicate refunded. Appreciate any help.",billing
"Hey, There are two separate $19 charges from the same day. Appreciate any help.",billing
"To whom it may concern, What's your data retention and privacy policy.",general_inquiry
My subscription jumped to $15.50 without any notiec. Appreciate any help.,billing
"Hi team, I keep getting a 500 error when i hit export on the dashboard. Hoping for a quick reply.",technical
Following up: My account got locked after a few failed attempts. Sorry if this is the wrong channel.,account_access
"Hey, An api webhook for new events would unblock our team.",feature_request
"Good morning, What are your support hours and how do i reach a person. Regards.",general_inquiry
"Hi team, My subscription jumped to $9.99 without any notice. Let me know.",billing
"Hey, The forgot-password page says my account doesn't exist. Regards.",account_access
"Hi team, What are your support hours and how do i reach a person. Appreciate any help.",general_inquiry
"Hey, What are your support hours and how do i reach a person. Let me know.",general_inquiry
Urgent: I see logins i don't recognise and i'm worried about my account. Sorry if this is the wrong channel.,account_access
"Good morning, I was billed $15.50 even though my card was declined.",billing
"Hey, Do you offer discounts for non-profits. Let me know.",general_inquiry
What's yoru data retention and privacy policy. Sorry if this is the wrong channel.,general_inquiry
"Good morning, My account got locked after a few failed attempts. Regards.",account_access
"Hi team, A mobile widget for quick stats would help a lot. Please advise.",feature_request
"Hello, Could you support exporting to pdf and not just csv. Let me know.",feature_request
Urgent: Please add a way to bulk-edit records. Hoping for a quick reply.,feature_request
Quick question - I was removed from my workspace by mistake.,account_access
"Good morning, There are two separate $120 charges from the same day. Sorry if this is the wrong channel.",billing
"Good morning, I'm stuck in a redirect loop trying to sign in with sso. Let me know.",account_access
I need some help. Do you offer discounts for non-profits. This is blocking me.,general_inquiry
Urgent: I'd like a refund on the annual plan i bought in january. Let me know.,billing
"Good morning, Could you support exporting to pdf and not just csv. Appreciate any help.",feature_request
Which plan is right for a team of about ten people. Please advise.,general_inquiry
Urgent: Sync has been broken sicne the update in june. Please advise.,technical
Following up: The app crashes whenever i upload a file over 10mb. Let me know.,technical
"Good morning, I'd love to schedule reports to send automatically each week. Hoping for a quick reply.",feature_request
"Hello, Notifications stopped firing after the latest release. Please advise.",technical
"Good morning, Which plan is right for a team of about ten people. This is blocking me.",general_inquiry
I need som ehelp. It would be great to have a dark mode. Sorry if this is the wrong channel.,feature_request
Following up: My subscription jumped to $9.99 without any notice. Let me know.,billing
"Hey, What's your data retention and privacy policy. Please advise.",general_inquiry
The $29 charge on my statement doesn't look right. Regards.,billing
I need some help. Which plan is right for a team of about ten people. Hoping for a quick reply.,general_inquiry
I need some help. Could you support exporting to pdf and not just csv. Appreciate any help.,feature_request
"Hello, Do you publish a public roadmap i can follow. This is blocking me.",general_inquiry
"Hi team, Let us customise which columns show in the main table. Let me know.",feature_request
"Hey, I'm stuck in a redirect loop trying to sign in with sso. Let me know.",account_access
Urgent: Notifications stopped firing after the latest release. Appreciate any help.,technical
"Hi team, I need to change the email address on my account. Hoping for a quick reply.",account_access
"Hey, The forgot-password page says my account doesn't exist. Please advise.",account_access
Following up: The forgot-password page says my account doesn't exist. Thanks in advance.,account_access
"Hello, Which plan is right for a team of about ten people. Let me know.",general_inquiry
"Hey, It would be great to have a dark mode.",feature_request
"Good morning, I was removed from my workspace by mistake. Let me know.",billing
"To whom it may concern, Which plan is right for a team of about ten people. Appreciate any help.",general_inquiry
Urgent: What's your data retention and privacy policy. This is blocking me.,general_inquiry
"Good morning, Which plan is right for a team of about ten people. This is blocking me.",general_inquiry
Quick question - Let us customise which columns show in the main table. Please advise.,feature_request
Quick question - Could you support exporting to pdf and not just csv. Please advise.,feature_request
I can't log in and the password reset email never arrives. Regards.,account_access
"Hey, Where can i find docs for the reporting feature. Appreciate any help.",account_access
I keep getting a 500 error when i hit export on the dashboard. Appreciate any help.,technical
"Hello, The mobile app freezes on the login screen. Thanks in advance.",technical
Quick question - M ysubscription jumped to $19 without any notice. Let me know.,billing
I keep getting a 500 error when i hit export on the dashboard. Regards.,technical
I need some help. The promo code didn't apply so i paid the full $15.50. This is blocking me.,feature_request
"Hello, The $80 charge on my statement doesn't look right. Hoping for a quick reply.",billing
Quick question - I'm stuck in a redircet loop trying to sign in with sso. Regards.,account_access
"Hi team, I keep getting a 500 error when i hit export on the dashboard. Regards.",account_access
Urgent: I see logins i don't recognise and i'm worried about my account. Please advise.,account_access
Urgent: What are your support hours and how do i reach a person. Please advise.,general_inquiry
"Good morning, I'm stuck in a redirect loop trying to sign in with sso. Let me know.",account_access
Quick question - I can't log in and the password reset email never arrives.,account_access
"Hey, Please confirm whether i'll be charged $9.99 again next cycle. Hoping for a quick reply.",billing
"Hello, Where can i find docs for the reporting feature. Appreciate any help.",general_inquiry
Do you publish a public roadmap i can follow. Let me know.,general_inquiry
"Hi team, Do you have plans to support sso for enterprise. Sorry if this is the wrong channel.",feature_request
"Hi team, I'm stuck in a redirect loop trying to sign in with sso. Please advise.",account_access
Where can i find docs for the reporting feature. Please advise.,general_inquiry
"Hey, Could you support exporting to pdf and not just csv.",feature_request
Quick question - The mobile app freezes on the login screne. Regards.,technical
"Hey, How does your product compare to others i'm evaluating. This is blocking me.",general_inquiry
"Hello, The csv download comes out corrupted and won't open. Let me know.",technical
"To whom it may concern, Do you publish a public roadmap i can follow. Appreciate any help.",general_inquiry
Is there a free trial before i commit. Appreciate any help.,general_inquiry
I see logins i don't recognise and i'm worried about my account. This is blocking me.,account_access
"To whom it may concern, My subscription jumped to $49.00 without any notice. Appreciate any help.",billing
I keep getting a 500 error when i hit export on the dashboard.,technical
Following up: I can't log in and the password reset email never arrives. Hoping for a quick reply.,account_access
Api calls time out intermittentl yand break my integration. Please advise.,technical
I was charged $29 twice thsi month and need the duplicate refunded. Appreciate any help.,billing
Quick question - I was charged $29 twice this month and need the duplicate refunded. This is blocking me.,billing
I need some help. I was removed from my workspace by mistake. This is blocking me.,account_access
"Hey, I was charged $199 twice this month and need the duplicate refunded. Sorry if this is the wrong channel.",billing
"Hi team, I keep getting a 500 error when i hit export on the dashboard. Sorry if this is the wrong channel.",technical
I need some help. Do you publish a public roadmap i can follow. Regards.,general_inquiry
"Hello, A mobile widget for quick stats would help a lot. Thanks in advance.",feature_request
Urgent: I need to change the email address on my account. Let me know.,account_access
Following up: I'd love to schedule reports to send automatically each week. Please advise.,feature_request
Urgent: I want to add a teammate with admin permissions. Thanks in advance.,account_access
Sync has been broken since the update in april. Let me know.,technical
I need some help. I'm stuck in a redirect loop trying to sign in with sso. This is blocking me.,account_access
"Good morning, Do you publish a public roadmap i can follow. Please advise.",general_inquiry
"Good morning, What's your daat retention and privacy policy. Appreciate any help.",general_inquiry
"Good morning, What are your support hours and how do i reach a person. Hoping for a quick reply.",general_inquiry
I need some help. An integration with slack would be really useful. Thanks in advance.,feature_request
Following up: The mobile app freezes on the login screen. Appreciate any help.,technical
Urgent: My account got locked after a few failed attempts. Thanks in advance.,account_access
Urgent: Two-factor ins't sending me a code anymore. Let me know.,account_access
I need some help. The promo code didn't apply so i paid the full $199. Let me know.,billing
Quick question - My subscription jumped to $29 without any notice.,billing
"Hi team, What are your support hours and how do i reach a person. Let me know.",general_inquiry
Following up: Two-factor isn't sending me a code anymore. Regards.,account_access
"To whom it may concern, I was removed from my workspace by mistake.",account_access
"Hey, Where can i find docs for the reporting feature. Sorry if this is the wrong channel.",general_inquiry
"To whom it may concern, Pages take over 30 seconds to load lately. Please advise.",technical
"T owhom it may concern, It would be great to have a dark mode. Regards.",general_inquiry
Following up: I'd love to schedule reports to send automatically each week. This is blocking me.,feature_request
"Hey, Notifications stopped firing after the latest release. Appreciate any help.",technical
Urgent: The app crashes whenever i upload a file over 10mb. Thanks in advance.,technical
The mobile app freezes on the login screen. Sorry if this is the wrong channel.,technical
Urgent: I need to change the email address on my account. Let me know.,account_access
"Hey, Which plan is right for a team of about ten people. Thanks in advance.",general_inquiry
I want to add a teammate with admin permissions. Sorry if this is the wrong channel.,account_access
"Hey, A mobile widget for quick stats would help a lot. Thanks in advance.",feature_request
"Hello, Pages take over 30 seconds to load lately. Please advise.",technical
Following up: The promo code didn't apply so i paid the full $49.00. Regards.,billing
Qucik question - Please add a way to bulk-edit records. Regards.,feature_request
"Hi team, An api webhook for new events would unblock our team. Please advise.",feature_request
I need some help. Api calls time out intermittently and break my integration. Regrads.,technical
"To whom it may concern, An itnegration with slack would be really useful. This is blocking me.",feature_request
"Hello, An api webhook for new events would unblock our team. Sorry if this is the wrong channel.",feature_request
Urgent: D oyou offer discounts for non-profits. Sorry if this is the wrong channel.,general_inquiry
"To whom it may concern, My account got locked after a few failed attempts. This is blocking me.",account_access
"Hey, My account got locked after a few failed attempts. Hoping for a quick reply.",account_access
"Hello, An integration with slack would be really useful. Hoping for a quick reply.",feature_request
"Hi team, I was removed from my workspace by mistake. Sorry if this is the wrong channel.",account_access
I can't log in and the password rseet email never arrives.,account_access
"Hello, I was charged $199 twice this month and need the duplicate refunded. Appreciate any help.",billing
"Hey, The app crashes whenveer i upload a file over 10mb.",technical
I need some help. An api webhook for new events would unblock our team. Thanks in advance.,feature_request
Following up: I was charged $49.00 twice this month and need the duplicate refunded.,billing
"Hi team, Please add a way to bulk-edit records. Please advise.",feature_request
Following up: Please confirm whether i'll be charged $15.50 again next cycle.,billing
"Good morning, I want to add a teammate with admin permissions. Sorry if this is the wrong channel.",account_access
"To whom it may concern, The app crashes whenever i upload a file over 10mb. Let me know.",technical
I need some help. An integration with slack would be really useful. Thanks in advance.,feature_request
Following up: Please confirm whether i'll be charged $120 again next cycle. Hoping for a quick reply.,billing
"To whom it may concern, I'd love to schedule reports to send automatically ecah week. This is blocking me.",account_access
Following up: Let us customise which columns show in the main table. Let me know.,feature_request
"Hey, I was charged $199 twice this month and need the duplicate refunded. Sorry if this is the wrong channel.",billing
"Hey, What's your data retention and privacy policy. Thanks in advance.",general_inquiry
"Hey, Do you offer discounts for non-profits. Please advise.",general_inquiry
Urgent: Api calls time out intermittently and break my integration. Appreciate any help.,technical
Urgent: Could you support exporting to pdf and not just csv. Let me know.,feature_request
Following up: The $199 charge on my statement doesn't look right. Thanks in advance.,billing
Do you publish a public roadmap i can follow. Please advise.,general_inquiry
"Hi team, I can't find the invoice for january and my finance team needs it. This is blocking me.",billing
I need some help. Which plan is right for a team of about ten people. Let me know.,general_inquiry
Urgent: I see logins i don't recognise and i'm worried about my account. This is blocking me.,feature_request
Quick question - The promo code didn't apply so i paid the full $29. Sorry if this is the wrong channel.,billing
"To whom it may concern, My subscription jumped to $29 without any notice. This is blocking me.",billing
Urgent: I was removed from my workspace by mistake. This is blocking me.,account_access
Urgent: Is there a free trial before i commit.,general_inquiry
"Hello, I can't log in and the password reset email never arrives. This is blocking me.",account_access
Urgent: It would be great to hav ea dark mode. Sorry if this is the wrong channel.,feature_request
Urgent: The analytics charts render completely blank in safari. Hoping for a quick reply.,technical
Quick question - I need to change the email address on my account. Hoping for a quick reply.,account_access
Api calls time out intermittently and break my integration. Regards.,technical
"To whom it may concern, The csv download comes out corrupted and won't open. Regards.",technical
I need some help. The mobile app freezes on the login screen. Sorry if this is the wrong channel.,technical
I need some hepl. Api calls time out intermittently and break my integration. Appreciate any help.,technical
I need some help. An integration with slack would be really useful. Let em know.,account_access
"Good morning, Where can i find docs for the reporting feature. Let me know.",general_inquiry
"Hi team, The analytics charts render completely blank in safari.",technical
"To whom it may concern, My subscription jumped to $19 without any notice. This is blocking me.",billing
I need some help. What are your support hours and how do i reach a person. Regards.,general_inquiry
"Hey, What's your data retention and privacy policy. Hoping for a quick reply.",general_inquiry
"Hello, What's your data retention and privacy policy. Please advise.",general_inquiry
"Good morning, I keep getting a 500 error when i hit export on the dashboard. Sorry if this is the wrong channel.",technical
"Hi team, Which plan is right for a team of about ten people. Regards.",general_inquiry
"Hey, An integration with slack would be really useful.",feature_request
Urgent: The csv download comes out corrupted and won't open. Please advise.,technical
It would be great to have a dark mode. This is blocking me.,feature_request
"Hey, Which plan is right for a team of about ten people. Let me know.",general_inquiry
"Good morning, Which plan is right for a team of about ten people. Please advise.",general_inquiry
Quick question - The app crashes whenever i upload a file over 10mb. This is blocking me.,technical
The $29 charge on my statement doesn't look right. This is blocking me.,billing
Quick question - I keep getting a 500 error when i hit export on the dashboard. Hoping for a quick reply.,technical
Urgent: I see logins i don't recognise and i'm worried about my account. Sorry if this is the wrong channel.,account_access
I need some help. The app crashes whenever i upload a file over 10mb. Regards.,technical
Urgent: The forgot-password page says my account doesn't exist. Let me know.,account_access
"To whom it may concern, I can't find the invoice for april and my finance team needs it. Appreciate any help.",billing
"Hey, Let us customise which columns show in the main table. Please advise.",feature_request
I ened some help. The mobile app freezes on the login screen. Appreciate any help.,technical
"Hello, Do yo upublish a public roadmap i can follow. Appreciate any help.",general_inquiry
"Hi team, Do you have plans to support sso for enterprise. Regards.",feature_request
"Hey, I need to change the email adderss on my account. Appreciate any help.",account_access
Quick question - What are your support hours and how do i reach a person. Please advise.,general_inquiry
Could you support exporting to pdf and not just csv. Regards.,feature_request
"To whom it may concern, Can you point me to a getting-started tutorial. This is blocking me.",general_inquiry
Urgent: I was removed from my workspace by mistake. Regards.,account_access
"Good morning, The forgot-password page says my account doesn't exist. Let me know.",account_access
Quick question - Pages take over 30 seconds to load lately. Thanks in advance.,technical
I need some help. An api webhook for new events wuold unblock our team. Hoping for a quick reply.,feature_request
"Hi tea,m An api webhook for new events would unblock our team. This is blocking me.",feature_request
I see logins i don't recognise and i'm worried about my account. Let me know.,account_access
"Hey, Could you support exporting to pdf and not just csv. Regards.",feature_request
"Hi team, I'd love to schedule reports to send automatically each week. Thanks in advance.",feature_request
"Hello, The app crashes whenever i upload a file over 10mb.",technical
Following up: The forgot-password page says my account doesn't exist. Thanks in advance.,account_access
"Hello, I'm stuck in a redirect loop trying to sign in with sso. Let me know.",account_access
"Hello, I was removed from my workspace by mistake. Let me know.",account_access
Following up: The $199 charge on my statement doesn't look right. Regards.,billing
Urgent: It would be great to have a dark mode. Let me know.,feature_request
Following up: Do you publish a public roadmap i can follow. Regards.,billing
Quick question - My subscription jumped to $15.50 without any notice. Hoping for a quick reply.,billing
"To whom it may concern, My account got locked after a few failed attempts.",general_inquiry
A mobile widget for quick stats would help a lot.,feature_request
"Hey, I'd like a refund on the annual plan i bought in last month. Thanks in advance.",billing
Quick question - I see logins i don't recognise and i'm worried about my account. Regards.,account_access
I'd like a refund on the annual plan i bought in last month. Please advise.,billing
"Good morning, The mobile app freezes on the login screen. Hoping for a quick reply.",technical
I was removed fromm y workspace by mistake. Regards.,account_access
Urgent: I was removed from my workspace by mistake. Thanks in advance.,account_access
In eed some help. Pages take over 30 seconds to load lately. Regards.,technical
The $29 charge on my statement doesn't look right. This is blocking me.,billing
Urgent :The app crashes whenever i upload a file over 10mb. Please advise.,technical
Quick question - Api calls time out intermittently and break my integration. This is blocking me.,technical
"To whom it may concern, Which plan is right for a team of about ten people. Regards.",general_inquiry
"To whom it may concern, Can you point me to a getting-started tutorial. Appreciate any help.",general_inquiry
Following up: I'd like a refund on the annual plan i bought in q1. Hoping for a quick reply.,billing
"Good morning, I'd like a refund on the annual plan i bought in last month. Hoping for a quick reply.",billing
"To whom it may concern, The promo code didn't apply so i paid the full $80.",feature_request
Do you offer idscounts for non-profits.,general_inquiry
"Hey, How does your product compare to others 'im evaluating. Appreciate any help.",billing
Quick question - Pages take over 30 seconds to load lately. Sorry if this is the wrong channel.,technical
"Hello, I'd love to schedule reports to send automatically each week. Hoping for a quick reply.",feature_request
Following up: Please add a way to bulk-edit records. Please advise.,feature_request
